Venusaur,Mega Venusaur,Venusaurite
Charizard,Mega Charizard X,Charizardite X
Charizard,Mega Charizard Y,Charizardite Y
Blastoise,Mega Blastoise,Blastoisinite
Beedrill,Mega Beedrill,Beedrillite
Pidgeot,Mega Pidgeot,Pidgeotite
Alakazam,Mega Alakazam,Alakazite
Slowbro,Mega Slowbro,Slowbronite
Gengar,Mega Gengar,Gengarite
Kangaskhan,Mega Kangaskhan,Kangaskhanite
Pinsir,Mega Pinsir,Pinsirite
Gyarados,Mega Gyarados,Gyaradosite
Aerodactyl,Mega Aerodactyl,Aerodactylite
Mewtwo,Mega Mewtwo X,Mewtwonite X
Mewtwo,Mega Mewtwo Y,Mewtwonite Y
Ampharos,Mega Ampharos,Ampharosite
Steelix,Mega Steelix,Steelixite
Scizor,Mega Scizor,Scizorite
Heracross,Mega Heracross,Heracronite
Houndoom,Mega Houndoom,Houndoomite
Tyranitar,Mega Tyranitar,Tyranitarite
Sceptile,Mega Sceptile,Sceptilite
Blaziken,Mega Blaziken,Blazikenite
Swampert,Mega Swampert,Swampertite
Gardevoir,Mega Gardevoir,Gardevoirite
Sableye,Mega Sableye,Sablenite
Mawile,Mega Mawile,Mawilite
Aggron,Mega Aggron,Aggronite
Medicham,Mega Medicham,Medichamite
Manectric,Mega Manectric,Manectite
Sharpedo,Mega Sharpedo,Sharpedonite
Camerupt,Mega Camerupt,Cameruptite
Altaria,Mega Altaria,Altarianite
Banette,Mega Banette,Banettite
Absol,Mega Absol,Absolite
Glalie,Mega Glalie,Glalitite
Salamence,Mega Salamence,Salamencite
Metagross,Mega Metagross,Metagrossite
Latias,Mega Latias,Latiasite
Latios,Mega Latios,Latiosite
Rayquaza,Mega Rayquaza,Dragon Ascent
Lopunny,Mega Lopunny,Lopunnite
Garchomp,Mega Garchomp,Garchompite
Lucario,Mega Lucario,Lucarionite
Abomasnow,Mega Abomasnow,Abomasite
Gallade,Mega Gallade,Galladite
Audino,Mega Audino,Audinite
Diancie,Mega Diancie,Diancite
Kyogre,Primal Kyogre,Blue Orb
Groudon,Primal Groudon,Red Orb
Meganium,Mega Meganium,Meganiumite
Feraligatr,Mega Feraligatr,Feraligite
Emboar,Mega Emboar,Emboarite
Chesnaught,Mega Chesnaught,Chesnaughtite
Delphox,Mega Delphox,Delphoxite
Greninja,Mega Greninja,Greninjite
Dragonite,Mega Dragonite,Dragoninite
Hawlucha,Mega Hawlucha,Hawluchanite
Froslass,Mega Froslass,Froslassite
Victreebel,Mega Victreebel,Victreebelite
Barbaracle,Mega Barbaracle,Barbaracite
Malamar,Mega Malamar,Malamarite
Pyroar,Mega Pyroar,Pyroarite
Scrafty,Mega Scrafty,Scraftinite
Skarmory,Mega Skarmory,Skarmorite
Scolipede,Mega Scolipede,Scolipite
Starmie,Mega Starmie,Starminite
Dragalge,Mega Dragalge,Dragalgite
Chandelure,Mega Chandelure,Chandelurite
Falinks,Mega Falinks,Falinksite
Excadrill,Mega Excadrill,Excadrillite
Clefable,Mega Clefable,Clefablite
Floette,Mega Floette,Floettite
Zygarde,Mega Zygarde,Zygardite
Golurk,Mega Golurk,Golurkite
Raichu,Mega Raichu X,Raichuite X
Raichu,Mega Raichu Y,Raichuite Y
Baxcalibur,Mega Baxcalibur,Baxcalibrite
Heatran,Mega Heatran,Heatranite